bank_issue,tenor,unit,type,from_amount,to_amount,interest,is_default
scb,4,month,online,0,1e+19,0.04,True
scb,5,month,online,0,1e+19,0.04,True
scb,6,month,online,0,1e+19,0.0645,True
scb,7,month,online,0,1e+19,0.065,True
scb,8,month,online,0,1e+19,0.0655,True
scb,9,month,online,0,1e+19,0.066,True
scb,10,month,online,0,1e+19,0.0665,True
scb,11,month,online,0,1e+19,0.067,True
scb,12,month,online,0,1e+19,0.068,True
scb,13,month,online,0,1e+19,0.0685,True
scb,15,month,online,0,1e+19,0.069,True
scb,18,month,online,0,1e+19,0.0695,True
scb,24,month,online,0,1e+19,0.0695,True
scb,36,month,online,0,1e+19,0.0695,True
scb,6,month,offline,0,1e+19,0.064,True
scb,7,month,offline,0,1e+19,0.0645,True
scb,8,month,offline,0,1e+19,0.065,True
scb,9,month,offline,0,1e+19,0.0655,True
scb,10,month,offline,0,1e+19,0.066,True
scb,11,month,offline,0,1e+19,0.0665,True
scb,12,month,offline,0,1e+19,0.0675,True
scb,13,month,offline,0,1e+19,0.068,True
scb,15,month,offline,0,1e+19,0.0685,True
scb,18,month,offline,0,1e+19,0.069,True
scb,24,month,offline,0,1e+19,0.069,True
scb,36,month,offline,0,1e+19,0.069,True
nama,2,week,offline,0,1e+19,0.002,True
nama,3,week,offline,0,1e+19,0.002,True
nama,1,month,offline,0,1e+19,0.0395,True
nama,2,month,offline,0,1e+19,0.0395,True
nama,3,month,offline,0,1e+19,0.0395,True
nama,4,month,offline,0,1e+19,0.0395,True
nama,5,month,offline,0,1e+19,0.0395,True
nama,6,month,offline,0,1e+19,0.06,True
nama,7,month,offline,0,1e+19,0.06,True
nama,8,month,offline,0,1e+19,0.061,True
nama,9,month,offline,0,1e+19,0.061,True
nama,10,month,offline,0,1e+19,0.061,True
nama,11,month,offline,0,1e+19,0.061,True
nama,12,month,offline,0,1e+19,0.064,True
nama,13,month,offline,0,1e+19,0.064,True
nama,14,month,offline,0,1e+19,0.066,True
nama,15,month,offline,0,1e+19,0.066,True
nama,16,month,offline,0,1e+19,0.066,True
nama,17,month,offline,0,1e+19,0.066,True
nama,18,month,offline,0,1e+19,0.067,True
nama,19,month,offline,0,1e+19,0.067,True
nama,20,month,offline,0,1e+19,0.067,True
nama,21,month,offline,0,1e+19,0.067,True
nama,22,month,offline,0,1e+19,0.067,True
nama,23,month,offline,0,1e+19,0.067,True
nama,24,month,offline,0,1e+19,0.067,True
nama,25,month,offline,0,1e+19,0.067,True
nama,26,month,offline,0,1e+19,0.067,True
nama,27,month,offline,0,1e+19,0.067,True
nama,28,month,offline,0,1e+19,0.067,True
nama,29,month,offline,0,1e+19,0.067,True
nama,30,month,offline,0,1e+19,0.066,True
nama,31,month,offline,0,1e+19,0.066,True
nama,32,month,offline,0,1e+19,0.066,True
nama,33,month,offline,0,1e+19,0.066,True
nama,34,month,offline,0,1e+19,0.066,True
nama,35,month,offline,0,1e+19,0.066,True
nama,36,month,offline,0,1e+19,0.066,True
VIB,7,day,online,0,99999999.0,0.002,True
VIB,7,month,online,100000000,99999999.0,0.0557,False
VIB,7,month,online,100000000,99999999.0,0.057,False
VIB,7,day,offline,100000000,99999999.0,0.002,False
VIB,7,month,offline,100000000,99999999.0,0.056,False
